TIGRcode-AffyID	0	2	4	6	8	10	12
AT1G01010-261585_at	368.7398561	248.394729	193.9625974	150.3019615	121.3629035	102.0797642	82.70382519
AT1G01300-261055_at	157.3802086	485.9601909	860.0727434	1329.277166	1851.15413	2385.40407	1919.247572
AT1G01320-261053_at	192.1066899	149.1209075	89.25704521	93.05134894	101.5273527	130.6552586	118.046043
AT1G01340-261027_at	82.64278913	65.32626275	79.47315278	70.88754559	71.67117746	65.14447099	58.54959386
AT1G01370-261058_at	48.93380332	48.87864021	74.78006362	90.24535622	119.7312703	122.1946573	133.0230152
AT1G01470-259426_at	280.9200944	384.3312961	363.0043584	283.2733189	536.6352115	385.6663254	198.8184737
AT1G01480-259439_at	191.8805344	284.9896695	219.1050456	197.0188713	325.0255728	267.3683589	166.515086
AT1G01490-259434_at	1183.941491	382.6699943	395.7534118	423.3359869	402.0867854	351.9907178	174.7921556
AT1G01530-259427_at	52.9347485	52.40728302	78.17936945	147.8009923	381.318941	389.0779833	313.272715
AT1G01560;AT4G01370-259428_at	84.06134904	195.0371291	148.0999605	152.2719361	127.4364377	110.6770579	89.7118779
AT1G01570-259433_at	81.24270682	89.1612013	106.1407765	143.1586842	179.9893553	155.6596259	137.7998427
AT1G01620-259431_at	792.1874635	202.0243539	131.1846727	147.8009923	223.815027	420.7062372	860.7827835
AT1G01650-257484_at	957.7037202	529.4508003	488.531023	479.6383905	410.1535977	360.1922262	294.4291656
AT1G01720-261564_at	52.37176447	87.96658526	62.29765142	71.23598114	72.08669129	62.87148804	61.3953582
AT1G01780-261559_at	639.7061742	97.17418041	65.11331344	93.21109608	81.61214294	71.21087642	75.472824
AT1G01950-261656_at	112.5439534	216.6162143	225.7484456	246.3037334	266.9325417	280.9149847	306.3684751
AT1G02110-264176_at	226.5668707	314.8312492	529.9989472	467.2846126	587.5326333	593.637487	577.525951
AT1G02170-264178_at	443.339131	620.4478206	495.6409519	375.7311628	377.0906651	332.644614	323.2402618
AT1G02220-264148_at	625.2065111	455.3053104	216.5997445	110.4435955	89.66669083	82.21593052	81.04508683
AT1G02250-264149_at	107.5949037	414.6945943	197.7593234	235.2050121	297.0066312	272.992434	250.6895023
AT1G02300-259441_at	802.0303206	204.6460762	138.3550173	97.55888009	67.92138755	43.72114948	40.83856959
AT1G02360-259443_at	59.99318107	64.95684303	64.40027833	69.39364544	70.10082415	55.28095408	60.65090648
AT1G02410-259446_at	287.839644	331.4270843	314.6309574	308.0383589	363.382207	318.0970117	281.8771782
AT1G02450-260904_at	60.15116995	67.73084322	80.73200615	75.51217604	77.37210253	116.9612463	189.7558053
AT1G02500-260913_at	2282.447245	7982.012981	7898.25579	6021.662489	3768.833112	2972.305448	2025.087463
AT1G02520;AT1G02530-260932_s_at	80.61269831	77.79075127	104.6299009	104.5039548	88.2140345	86.13673205	56.34678146
AT1G02670-260909_at	52.02405134	76.4883682	82.09104104	72.67187057	79.59613874	64.69160053	77.46029214
AT1G02690-260910_at	189.3613847	455.6208053	521.9382885	659.1588921	1053.733197	1642.887521	1759.633242
AT1G02730-262109_at	366.1366576	179.0651239	198.508359	263.2852169	519.732751	1329.526989	1862.509998
AT1G02850-262118_at	792.6825141	856.0022776	1786.255063	1328.735083	1074.541555	1334.135083	977.4933008
AT1G02910-262104_at	125.2317514	106.3908304	87.0241151	135.8270488	103.7639779	106.6665769	86.81758907
AT1G02920;AT1G02930-262119_s_at	4335.921992	5638.059817	5563.288147	3840.423131	3050.897728	1810.636323	864.683411
AT1G02970-262106_at	102.9052327	135.428352	313.432419	351.9148312	364.3583046	392.1693832	347.9583776
AT1G02980-262102_at	40.25406207	110.2398184	64.71623663	95.45747925	85.75969859	74.48506839	52.98766699
AT1G03220;AT1G03230-264365_s_at	3913.299319	266.9538345	161.6672959	201.0289201	214.1636599	255.4071968	264.7426241
AT1G03260-264353_at	184.6502407	189.6753402	205.2393437	188.1800531	187.2707451	185.7299572	158.9659797
AT1G03290-264362_at	253.4954158	230.2583101	163.186224	136.5512036	103.3295073	136.2625639	104.317686
AT1G03310-264360_at	150.9715568	369.1355235	343.0617727	273.412066	219.9324525	243.7588751	151.9673013
AT1G03370-264351_at	285.6514183	461.6731336	380.1881965	342.1655087	322.5910228	279.7584274	318.8874865
AT1G03430-264838_at	408.5911969	359.4877622	305.8637155	313.4097308	254.5322934	304.9534778	409.6679731
AT1G03470-264821_at	163.5289746	101.6499165	103.6391658	98.9191112	113.6129148	121.973875	158.6082515
AT1G03610-264836_at	1061.517201	76.63329268	72.69339221	73.74573664	86.87935788	113.5657614	126.9630108
AT1G03620-264815_at	2260.719614	242.3729999	212.1043685	237.2597535	277.3426105	287.2729832	337.8198841
AT1G03630-264839_at	138.7724277	134.0486772	84.73861593	81.28916725	94.05862193	83.84852276	79.10448721
AT1G03780-265085_at	103.2138683	60.82942222	63.68895367	65.43886778	117.6539042	278.5578692	378.0234984
AT1G03820-265083_at	46.09137749	64.58051036	269.6128472	1282.083099	3087.244433	3443.673178	3604.978466
AT1G03905-265093_at	75.97170642	114.0614788	70.46727769	77.69682542	64.07374307	58.90479107	65.34373406
AT1G03950-265044_at	649.5657671	418.6186563	251.6309534	209.4401542	113.014061	92.2089689	120.4562996
AT1G04020-265097_at	105.1556019	148.9120906	668.0683244	903.9459165	824.6313504	666.8502671	433.5186604
AT1G04030-265096_at	92.21238928	79.70872968	71.58733899	63.66713478	87.13539963	129.5881772	181.1465149
AT1G04040-265042_at	511.5460186	414.854737	408.1565252	478.1318984	605.4458335	716.5668675	1014.853618
AT1G04200-264321_at	214.0412503	437.6027007	399.3237031	358.0699969	391.3543569	377.0944725	289.7811723
AT1G04250-263664_at	274.8876392	169.6094614	123.5101518	135.0587794	170.4630912	180.8015081	95.57700231
AT1G04430-263662_at	1867.105698	2857.585103	4164.552765	3448.746123	3126.012771	3184.973178	2456.854185
AT1G04550-264605_at	59.4711099	95.98594201	143.754242	146.1224149	198.1770275	268.5311917	331.4274817
AT1G04645-264610_at	33.85266198	33.06250777	34.31170668	36.11868106	35.73573068	34.01896208	36.88395388
AT1G04650-264604_at	61.20022859	89.14671371	202.4924909	214.9780397	166.8252912	182.504883	108.7709604
AT1G04680-264611_at	65.94355907	85.21211816	364.5341758	1942.619628	3844.133171	3954.418491	3326.188332
AT1G04760-261178_at	116.8436816	120.7972738	112.4364078	113.673666	125.1315673	154.0794768	205.0287441
AT1G04770-261177_at	238.2266248	230.8444722	1380.824233	542.0541302	744.219173	722.3454919	603.7632124
AT1G04820-261129_at	868.6512945	2982.906422	5398.37776	4619.413879	5271.71176	5746.306134	5512.080194
AT1G04940-261168_at	97.51084924	308.6135138	436.8623867	461.0011793	529.7665567	502.057651	429.3782938
AT1G04980-261167_at	134.6295616	211.1462149	662.4769578	632.7069131	430.7033041	337.5866808	227.1006472
AT1G05000-265214_at	193.0474096	128.4181785	129.7426456	147.9386073	121.7204929	151.5441799	235.8903812
AT1G05010-265194_at	374.4127638	670.4744304	469.0453351	386.772014	278.077462	244.4819577	139.6693334
AT1G05060-265192_at	558.3603587	500.9446064	452.9065111	353.0340259	417.3695694	337.2691628	335.2384257
AT1G05340-264580_at	4663.287953	220.4378515	81.93028007	56.57248196	50.25507831	38.9830516	32.02784531
AT1G05440-261384_at	40.57379224	38.79757874	37.61760009	41.21819862	44.85516597	59.9888214	102.0419366
AT1G05480-263204_at	105.1024595	210.4149375	257.7701788	276.809408	274.7062917	235.0741249	195.023133
AT1G05500-263205_at	99.55187944	139.4324996	136.6062099	127.9470036	141.6392415	138.3818558	108.4071866
AT1G05570-263183_at	598.5708994	676.2370143	279.7795266	299.734607	253.9137713	274.9665162	265.1984867
AT1G05575-263182_at	38.34113129	99.24463294	32.48610845	27.95293723	30.63034329	28.72877414	31.32757034
