CellCycleName-TIGRcode-AffyID	0	2	4	6	8	10	12
CYCA1_1-At1g44110-245739_at	149.4050839	158.4367289	98.68291171	295.9916212	529.1969873	1355.188103	1942.632962
CYCA1_2-At1g77390-246385_at	116.060906	187.8668104	207.6191327	221.497975	203.1556591	205.804108	216.1740693
CYCA2_1-At5g25380-246938_at	40.64762817	34.65985409	36.69720059	34.81790194	50.32439169	89.32491784	92.78572669	
CYCA2_2-At5g11300-250369_at	196.0976317	124.8772419	135.5387313	146.002565	248.3313696	409.5957836	535.6551175
CYCA2_3-At1g15570-261765_at	82.38023896	116.5804436	143.6580888	180.2876072	211.8493333	353.7796927	320.484147
CYCA2_4-At1g80370-260329_at	114.2623835	78.44969262	81.7402014	98.29948352	132.4196168	164.3017649	207.7967981
CYCA3_1-At5g43080-249129_at	115.6639331	160.7644464	382.8362425	468.1675971	461.1514009	397.1057395	321.1207854
CYCA3_2-At1g47210-260506_at	145.0586844	291.5484495	1196.086525	1352.273178	1341.287056	1122.851125	859.5613639
CYCA3_3-At1g47220-260504_at	30.91286596	34.04374875	34.23469667	38.30824445	37.85261843	38.9275496	45.67817244
CYCA3_4-At1g47230-260505_at	179.6152924	266.6204505	333.8705119	442.2613249	446.8009506	556.9779397	449.7640188
CYCB1_1-At4g37490-253051_at	100.800223	111.4917858	78.61705106	103.5976983	125.2193281	329.1314209	596.2659966
CYCB1_3-At3g11520-259290_at	202.7871261	123.3872679	151.3270758	269.2633914	426.1377641	988.3846365	1858.023727
CYCB1_4-At2g26760-267618_at	153.9897308	106.7229925	91.42092743	104.751527	192.0101506	494.1684159	842.3877915
CYCB1_5-At1g34460-261159_s_t	56.81936764	41.44209071	33.02399041	50.2435801	82.13445779	263.1842342	484.298203
CYCB2_1-At2g17620-263017_at	163.7983641	168.480026	166.1742309	154.8168782	179.6368622	269.5930371	359.7049555
CYCB2_2-At4g35620-253148_at	84.0508522	80.36925349	62.920999	86.675062	98.90381008	189.1017081	318.2984917
CYCB2_3-At1g20610-259563_s_at	152.4312667	77.29388182	78.0047776	68.27628331	151.6221007	404.4142966	576.4824109
CYCB2_4-At1g76310-261780_at	78.73778202	72.05783269	62.58033557	82.42184574	141.7085007	278.4783824	448.4082153
CYCB2_5-At1g20590-259563_s_t	152.4312667	77.29388182	78.0047776	68.27628331	151.6221007	404.4142966	576.4824109
CYCB3_1-At1g16330-262752_at	56.9558256	69.94812419	70.83873744	83.90259508	122.9354057	188.4632775	272.2976594
CYCD1_1-At1g70210-264697_at	47.36044051	49.57327795	42.78315412	47.07694955	43.90763846	48.33319284	53.28705683
CYCD2_1-At2g22490-264043_at	168.9471785	281.969578	257.2231546	263.2672516	349.1331318	389.9666206	277.1196284
CYCD3_1-At4g34160-253270_at	170.528181	810.5157835	2359.362976	2850.516982	2535.655416	2805.405351	1974.570767
CYCD3_2-At5g67260-247034_at	473.2952002	397.2588499	413.711273	435.8160349	503.6756354	628.2547493	502.6826669
CYCD3_3-At3g50070-252189_at	446.4124519	1201.033879	1075.106511	918.3041018	1045.309714	1179.857413	832.7475131
CYCD4_1-At5g65420-247190_at	38.55294393	60.00849849	77.90501142	90.51754012	93.44189196	91.26342979	47.6864064
CYCD4_2-At5g10440-250431_at	84.19830936	111.8338966	120.4508233	107.2886907	101.4160397	113.9469627	118.6013303
CYCD5_1-At4g37630-253055_at	100.4125226	152.7441519	151.632199	130.0849813	124.1469943	136.968438	99.07846274
CYCD6_1-At4g03270-255422_at	46.77828234	47.64913045	38.93326433	43.09672596	41.86910157	44.79600849	49.80464442
