CellCycleName-TIGRcode-AffyID	0	2	4	6	8	10	12	14	16	19
CYCD1_1-At1g70210-264697_at	43.68201551	45.61049125	47.83337093	47.42576975	56.90914908	54.72999828	49.73585255	50.12850561	48.23841016	41.97738972
CYCD2_1-At2g22490-264043_at	249.7197622	366.9644936	309.8779852	236.8105544	249.5187506	271.5831026	307.3374872	291.7638275	279.5386855	332.3633004
CYCD3_1-At4g34160-253270_at	1118.273178	410.451936	723.6385228	1315.343996	1357.501749	1633.016188	1746.455583	1462.346537	1462.745119	1306.262099
CYCD3_2-At5g67260-247034_at	439.7350508	316.6741473	275.2993841	379.1012461	392.4256265	374.7255589	331.2401409	435.8160349	485.8350825	555.5207968
CYCD3_3-At3g50070-252189_at	784.1782548	434.259961	766.8798241	839.8655925	885.0922254	831.3223108	853.5708955	844.9183647	965.9971489	989.5434297
CYCD4_1-At5g65420-247190_at	97.76914664	78.91289943	51.01242948	46.71979333	44.68874963	45.9753842	52.67368045	57.69300952	77.62201676	78.13596183
CYCD4_2-At5g10440-250431_at	108.2620805	131.8975543	110.5704827	103.9632013	107.6941907	117.4049668	111.93287	108.5457843	121.397405	123.0114567
CYCD5_1-At4g37630-253055_at	89.23620939	76.70815646	100.5228685	89.89397823	82.75606598	88.9704807	86.89599121	102.4126106	124.9589797	117.9001677
CYCD6_1-At4g03270-255422_at	43.87698948	39.86817562	43.53404819	49.25649105	39.83101146	41.52311115	47.03234646	43.54510658	45.55618082	41.97100919
