TIGRcode-AffyID	0	2	4	6	8	10	12	14	16	19
AT1G01010-261585_at	139.1857052	499.5227825	143.2479252	115.4961211	149.7878004	116.7077472	110.3177374	117.6787071	116.0768747	133.2765812
AT1G01300-261055_at	627.5398666	231.8161747	306.4641231	681.1853997	1079.766547	1461.01422	1390.771869	1106.2413	1054.937341	1341.37794
AT1G01320-261053_at	51.34020555	58.13537684	70.95923852	72.67331359	71.61203636	88.33078779	109.9711689	95.22074569	84.71955222	79.68415578
AT1G01340-261027_at	143.8165092	353.8446077	98.6370182	90.54925627	119.5038076	107.3093359	117.2549836	109.059048	97.45085743	87.69722816
AT1G01370-261058_at	204.5104133	206.8230072	183.197378	131.1757699	123.5420352	125.2592487	97.02535045	89.42393103	85.46082562	95.59503459
AT1G01470-259426_at	4955.945151	6546.492735	4254.04794	1802.876406	1905.07794	2206.35413	2483.214862	2721.3098	2833.814123	3330.854304
AT1G01480-259439_at	737.5060153	1999.021664	240.6927149	286.166619	317.5745326	440.5194486	625.7142364	666.453426	871.1012428	868.8946586
AT1G01490-259434_at	151.35774	433.6134731	302.4573923	252.0824896	247.8431431	160.9223117	124.0659765	165.701212	167.6910787	153.0791672
AT1G01530-259427_at	111.2555647	137.9802406	78.99127203	87.66898338	109.7913456	133.0288016	152.9716955	239.7850597	286.5136543	457.2722725
AT1G01560;AT4G01370-259428_at	187.6588877	252.2162947	97.06576986	110.1809786	155.6602432	127.4364377	135.4496389	127.860554	127.5715219	143.3210879
AT1G01570-259433_at	160.37171	627.8071297	109.8852014	113.1618001	119.7532474	122.5355348	138.9119696	141.3117267	182.5454787	228.4004594
AT1G01620-259431_at	178.723454	104.6977098	130.1572791	147.1761577	167.6438641	741.9962077	1109.431464	793.9104233	504.7654779	307.9187274
AT1G01650-257484_at	286.7713067	471.5805253	415.0916734	276.9319545	239.1107307	295.2054674	324.3015021	311.0291435	293.3141566	230.582451
AT1G01720-261564_at	128.8026056	58.58572925	61.3953582	67.38439295	62.86295569	49.35538693	47.10672505	47.45481896	50.03710441	56.46019902
AT1G01780-261559_at	180.0682903	81.41750665	104.4371638	97.17418041	109.2055282	120.4304993	89.4948514	95.56798707	87.75073578	114.3648328
